/*********************************************
 * OPL 22.1.1.0 Opencast Mining Model
 * Author: Kaminski P., Szacki R., Sosnowski M.
 * Creation Date: 9 maj 2024 at 10:20:00
 *********************************************/
V =[[[ 1.5  1.5  1.5  0.75 ],
     [ 1.5  2.0  1.5  0.75 ],
     [ 1.0  1.0  0.75 0.5  ],
     [ 0.75 0.75 0.5  0.25 ]],
    [[ 4.0  4.0  2.0     0 ],
     [ 3.0  3.0  1.0     0 ],
     [ 2.0  2.0  0.5     0 ],
     [   0    0    0     0 ]],
    [[12.0  6.0    0     0 ],
     [ 5.0  4.0    0     0 ],
     [   0    0    0     0 ],
     [   0    0    0     0 ]],
    [[ 6.0    0    0     0 ],
     [   0    0    0     0 ],
     [   0    0    0     0 ],
     [   0    0    0     0 ]]];
level_cost = [3000 6000 8000 10000];
metal_value = 200000;
